max_airline,max_flight,max_airportFrom,max_airportTo,max_dayOfWeek,max_time,max_attribute,max_predict_proba_0,max_predict_proba_1,max_prediction,min_airline,min_flight,min_airportFrom,min_airportTo,min_dayOfWeek,min_time,min_attribute,min_predict_proba_0,min_predict_proba_1,min_prediction,mean_airline,mean_flight,mean_airportFrom,mean_airportTo,mean_dayOfWeek,mean_time,mean_attribute,mean_predict_proba_0,mean_predict_proba_1,mean_prediction,median_airline,median_flight,median_airportFrom,median_airportTo,median_dayOfWeek,median_time,median_attribute,median_predict_proba_0,median_predict_proba_1,median_prediction,std_airline,std_flight,std_airportFrom,std_airportTo,std_dayOfWeek,std_time,std_attribute,std_predict_proba_0,std_predict_proba_1,std_prediction,corr_flight_airline,corr_airportFrom_airline,corr_airportFrom_flight,corr_airportTo_airline,corr_airportTo_flight,corr_airportTo_airportFrom,corr_dayOfWeek_airline,corr_dayOfWeek_flight,corr_dayOfWeek_airportFrom,corr_dayOfWeek_airportTo,corr_time_airline,corr_time_flight,corr_time_airportFrom,corr_time_airportTo,corr_time_dayOfWeek,corr_attribute_airline,corr_attribute_flight,corr_attribute_airportFrom,corr_attribute_airportTo,corr_attribute_dayOfWeek,corr_attribute_time,corr_predict_proba_0_airline,corr_predict_proba_0_flight,corr_predict_proba_0_airportFrom,corr_predict_proba_0_airportTo,corr_predict_proba_0_dayOfWeek,corr_predict_proba_0_time,corr_predict_proba_0_attribute,corr_predict_proba_1_airline,corr_predict_proba_1_flight,corr_predict_proba_1_airportFrom,corr_predict_proba_1_airportTo,corr_predict_proba_1_dayOfWeek,corr_predict_proba_1_time,corr_predict_proba_1_attribute,corr_predict_proba_1_predict_proba_0,corr_prediction_airline,corr_prediction_flight,corr_prediction_airportFrom,corr_prediction_airportTo,corr_prediction_dayOfWeek,corr_prediction_time,corr_prediction_attribute,corr_prediction_predict_proba_0,corr_prediction_predict_proba_1,gmean_airline,gmean_flight,gmean_airportFrom,gmean_airportTo,gmean_dayOfWeek,gmean_time,gmean_attribute,gmean_predict_proba_0,gmean_predict_proba_1,gmean_prediction,hmean_airline,hmean_flight,hmean_airportFrom,hmean_airportTo,hmean_dayOfWeek,hmean_time,hmean_attribute,hmean_predict_proba_0,hmean_predict_proba_1,hmean_prediction,entropy_airline,entropy_flight,entropy_airportFrom,entropy_airportTo,entropy_dayOfWeek,entropy_time,entropy_attribute,entropy_predict_proba_0,entropy_predict_proba_1,entropy_prediction,prop_pca,nr_outliers_airline,nr_outliers_flight,nr_outliers_airportFrom,nr_outliers_airportTo,nr_outliers_dayOfWeek,nr_outliers_time,nr_outliers_attribute,nr_outliers_predict_proba_0,nr_outliers_predict_proba_1,nr_outliers_prediction,iqr_airline,iqr_flight,iqr_airportFrom,iqr_airportTo,iqr_dayOfWeek,iqr_time,iqr_attribute,iqr_predict_proba_0,iqr_predict_proba_1,iqr_prediction,uniqueness_ratio_airline,uniqueness_ratio_flight,uniqueness_ratio_airportFrom,uniqueness_ratio_airportTo,uniqueness_ratio_dayOfWeek,uniqueness_ratio_time,uniqueness_ratio_attribute,uniqueness_ratio_predict_proba_0,uniqueness_ratio_predict_proba_1,uniqueness_ratio_prediction,attr_sparsity_,kmeans_n_iter,kmeans_n_clusters,kmeans_inertia,kmenas_compactness,recall,precision,kappa,f1-score,last_recall,last_precision,last_kappa,last_f1-score,meta_predict_recall,meta_predict_precision,meta_predict_kappa,meta_predict_f1-score
17.0,7801.0,292.0,290.0,3.0,510.0,410.0,0.8676431887185867,0.4297856371445747,0.0,0.0,1.0,1.0,2.0,3.0,456.0,27.0,0.5702143628554253,0.13235681128141324,0.0,9.548,2275.084,144.346,145.726,3.0,483.954,140.226,0.77698579870914,0.22301420129086005,0.0,11.0,1683.5,153.0,153.0,3.0,482.5,120.0,0.7832566821519455,0.21674331784805445,0.0,5.333304804728503,2030.4215317368314,77.29089316450009,78.75753724992722,0.0,15.325167038069917,75.64314118813952,0.04752659051403564,0.04752659051403564,0.0,0.11798286726912927,0.027353791762739558,-0.06350420259199545,0.08133387749129127,-0.09262299950754639,-0.03439762008892441,,,,,-0.1306249087517203,0.034851207591442036,-0.05304950710703255,-0.03104302272508311,,-0.27080946167685105,-0.37342198998726495,0.029718084416254967,0.12694508093376605,,0.06403625475077031,-0.32565270348670206,0.44191367501852985,-0.035501517277415004,-0.24780294909350317,,-0.029596800750145997,-0.7990034047651654,0.3256527034867021,-0.4419136750185306,0.03550151727741514,0.24780294909350353,,0.029596800750144862,0.7990034047651655,-1.0000000000000009,,,,,,,,,,0.0,1300.0059556942608,112.75948026077654,115.03005796562296,2.9999999999999996,483.71126080929054,122.79578437454886,0.7754484491396592,0.21845145128972357,0.0,0.0,150.5971736774309,58.156602449368684,70.26802669551242,3.000000000000001,483.4682694597611,108.07061146826686,0.7738158107990406,0.2142756159515442,0.0,2.6082680186481815,6.791462900651481,4.290646991706372,4.341250766046739,0.0,3.026903121674006,5.050050027839915,6.907755278982134,6.907755278982134,0.0,0.1,0,70,0,0,0,0,48,51,51,0,10.0,2348.0,129.0,134.0,0.0,27.0,91.25,0.05305053402253468,0.05305053402253465,0.0,0.018,0.918,0.148,0.152,0.001,0.054,0.254,1.0,1.0,0.001,0.002157727307616863,12,4,4439.509789376154,2043.9869978440793,0.0,0.0,0.0,0.0,,,,,0.0026232905279920562,-0.009404671533820847,0.000607454479889948,0.003973201293860193
17.0,7801.0,292.0,290.0,3.0,520.0,410.0,0.8644432782836573,0.4297856371445747,0.0,0.0,1.0,1.0,2.0,3.0,475.0,27.0,0.5702143628554253,0.1355567217163427,0.0,9.724,2359.593,139.608,145.703,3.0,498.832,139.33,0.7739572433772831,0.22604275662271686,0.0,12.0,1719.0,148.0,153.0,3.0,500.0,120.0,0.78054414770989,0.21945585229011005,0.0,5.215844038027693,2075.992214104866,80.0131266507967,79.21523745369224,0.0,13.893912941170202,75.9174984214217,0.04823847086745074,0.048238470867450735,0.0,0.06526791870371451,0.05392612636783731,-0.07057650205306001,0.04924404347710707,-0.05357982675308809,-0.007006156113612345,,,,,-0.08691594480437781,0.043164107696448684,-0.08042514432511837,0.0018218168238733137,,-0.25370206660602435,-0.34430475014602263,0.020748299050284212,0.1428647336522357,,0.03331520347634902,-0.3313357879324553,0.4499560619669325,-0.04256712460652894,-0.23568520483304278,,-0.03068560777281009,-0.8046712822491288,0.3313357879324557,-0.44995606196693155,0.04256712460652847,0.2356852048330432,,0.030685607772811405,0.8046712822491291,-1.0000000000000009,,,,,,,,,,0.0,1323.8316401075328,105.45577128399881,114.30240615223796,2.9999999999999996,498.6381663919114,121.91664113418106,0.7723708806989881,0.22137543012794014,0.0,0.0,133.5103427071736,52.57171053849738,66.21348970622435,3.000000000000001,498.4438549186126,107.31901019468363,0.770690552209046,0.21708723053354534,0.0,2.6133578297650017,6.792325946868836,4.206393835323212,4.410080541924435,0.0,2.898493205939213,5.0691612699512625,6.907755278982134,6.907755278982134,0.0,0.1,0,12,0,0,0,0,54,42,42,0,10.0,2609.25,129.0,134.25,0.0,25.0,90.0,0.056524252153094756,0.05652425215309487,0.0,0.018,0.919,0.15,0.156,0.001,0.046,0.25,1.0,1.0,0.001,0.0021547398596578923,15,4,4374.855423175047,2039.582851339651,0.0,0.0,0.0,0.0,,,,,-0.0007924661881465018,-0.0011257324393384516,0.0009187323036624199,0.0004704555678728675
17.0,7801.0,292.0,290.0,3.0,536.0,404.0,0.864133357415054,0.4297856371445747,0.0,0.0,1.0,0.0,2.0,3.0,490.0,27.0,0.5702143628554253,0.13586664258494593,0.0,9.528,2386.894,136.669,147.214,3.0,513.012,140.218,0.7716955573898509,0.22830444261014923,0.0,10.5,1680.5,135.0,153.0,3.0,512.0,120.0,0.7783262070031556,0.22167379299684448,0.0,5.179192991194674,2116.9092047948925,82.67384352625324,79.66997872165845,0.0,12.941535432062894,76.94619674287478,0.049256704257454036,0.04925670425745403,0.0,0.051003029220973065,0.12848170095416273,-0.027922493286108553,0.059413395941888374,-0.010964645535622927,0.010424840590104685,,,,,-0.07950061544218008,-0.023713683521200384,-0.0019675493426253654,0.03106872402959633,,-0.23503452053319251,-0.3267829324156246,0.04613747183056879,0.12994955167502625,,-0.008025298359771298,-0.336905635792688,0.44647730722931894,-0.10474657112866233,-0.2246312966365172,,-0.008687424611348043,-0.8107602898532805,0.3369056357926887,-0.4464773072293193,0.10474657112866294,0.22463129663651743,,0.008687424611363534,0.8107602898532796,-1.0000000000000007,,,,,,,,,,0.0,1349.7015552784862,0.0,115.34253398730885,2.9999999999999996,512.8488147799184,122.69319265138279,0.7700358818018664,0.22348081467049036,0.0,0.0,213.50038574917946,0.0,63.426063674122716,3.000000000000001,512.6855468049496,108.25416567127499,0.7682774358871259,0.21904321579504582,0.0,2.614435482931771,6.809668177416213,4.098192786601898,4.424690945080432,0.0,2.905829716795759,5.067460247129023,6.907755278982134,6.907755278982134,0.0,0.1,0,0,0,0,0,0,65,53,53,0,10.0,2980.75,130.0,135.25,0.0,24.0,87.0,0.05540070350561488,0.05540070350561477,0.0,0.018,0.93,0.142,0.157,0.001,0.046,0.253,1.0,1.0,0.001,0.0021507653749467353,43,4,4358.401321882208,2036.3606886000598,0.0,0.0,0.0,0.0,,,,,0.0017631346439038558,-0.0006723453013104582,0.0001652978102762465,0.0026507189792282348
17.0,7770.0,292.0,290.0,3.0,555.0,401.0,0.8638201870235044,0.4164410402759755,0.0,0.0,1.0,0.0,0.0,3.0,505.0,30.0,0.5835589597240245,0.1361798129764956,0.0,9.525,2352.756,140.85,149.623,3.0,527.019,140.589,0.7684718307595628,0.23152816924043718,0.0,10.0,1685.5,148.0,154.0,3.0,525.0,120.0,0.7762233725178949,0.2237766274821051,0.0,5.204850186649512,2061.7436317998577,80.8529696591455,78.79950655450345,0.0,13.706148164145077,77.93023290225815,0.04984242125616284,0.04984242125616283,0.0,0.05971287843013407,0.11726916385173342,-0.022788216898098106,0.04583005521021511,0.01812517114030902,0.0129588379714254,,,,,-0.06723964310487705,-0.036719594748187465,0.08977339928199317,0.05986440852444797,,-0.23601916536461093,-0.31618244601240125,0.07300767163719446,0.11531523901311695,,0.03516857343938716,-0.329665352654202,0.4305707963712213,-0.1298383473345572,-0.19786060608855274,,-0.05744332368101187,-0.815807990893751,0.32966535265420166,-0.4305707963712219,0.12983834733455815,0.19786060608855313,,0.05744332368101857,0.8158079908937513,-0.9999999999999986,,,,,,,,,,0.0,1302.4817907130366,0.0,0.0,2.9999999999999996,526.8412875446749,122.94311991903093,0.7667689222736992,0.22663646660448356,0.0,0.0,165.41609270377646,0.0,0.0,3.000000000000001,526.6639524433456,108.6106267543563,0.7649694214761199,0.22212847034850455,0.0,2.6531173493455458,6.804122999971733,4.13532156151439,4.429920658638176,0.0,2.8850508975607134,5.082217647048506,6.907755278982134,6.907755278982134,0.0,0.1,0,0,0,0,0,0,74,52,52,0,10.0,3047.0,129.0,137.0,0.0,25.0,82.25,0.05690427279550814,0.056904272795508054,0.0,0.018,0.926,0.141,0.155,0.001,0.05,0.253,1.0,1.0,0.001,0.0021667236857110276,16,4,4366.037443208034,2038.3479554863013,0.0,0.0,0.0,0.0,,,,,-0.0002962115785014005,-0.007308343459559767,0.0002600744706142066,-9.365747669098822e-05
17.0,7782.0,292.0,290.0,3.0,570.0,505.0,0.8638201870235044,0.4497273492888859,0.0,0.0,1.0,0.0,0.0,3.0,516.0,30.0,0.5502726507111141,0.1361798129764956,0.0,9.004,2331.778,144.755,152.477,3.0,542.482,139.858,0.768334192902652,0.231665807097348,0.0,10.0,1682.5,154.0,154.0,3.0,540.0,118.0,0.7751206024154491,0.2248793975845509,0.0,5.389715487206447,2041.6732040628312,79.06601298541244,77.79408326081355,0.0,15.727397337990384,79.40823322240271,0.049813601613566336,0.049813601613566336,0.0,0.08870480333645794,0.11895921377873418,0.018435517824360613,0.052470124078806746,-0.0028065768910753787,-0.006944035681741259,,,,,-0.09406935999896023,0.04047450396920898,-0.008618902452699972,-0.021732355549706706,,-0.2662210827542957,-0.33803678147593624,0.05895035078512277,0.10660968110869891,,-0.023794245410403012,-0.3113689341666482,0.4319815697167854,-0.11399529512178154,-0.19457572255171537,,0.019778206919484415,-0.8104218521648077,0.3113689341666485,-0.4319815697167855,0.11399529512178146,0.19457572255171543,,-0.019778206919486358,0.8104218521648064,-1.0000000000000004,,,,,,,,,,0.0,1274.8940986540724,0.0,0.0,2.9999999999999996,542.2548639430102,121.6194697535623,0.7666305776087758,0.2267849719627227,0.0,0.0,135.77160872698616,0.0,0.0,3.000000000000001,542.028412925684,107.02025309881618,0.7648268290758543,0.22228248874400267,0.0,2.669545648466902,6.795098535591075,4.208624939323883,4.44691865815411,0.0,3.0202135001274835,5.095907202937935,6.907755278982134,6.907755278982134,0.0,0.1,0,0,0,0,0,0,68,48,48,0,11.0,3000.5,129.0,136.0,0.0,25.0,86.0,0.056526500040202765,0.05652650004020282,0.0,0.018,0.921,0.145,0.159,0.001,0.054,0.26,1.0,1.0,0.001,0.0021687298444739863,11,4,4583.319214617332,2082.4105827699514,0.0,0.0,0.0,0.0,,,,,0.0014713395672083652,-0.004293267697630241,-0.001470278933310551,0.0012962369582400237
17.0,7801.0,290.0,292.0,3.0,585.0,505.0,0.8526286829739169,0.4497273492888859,0.0,0.0,1.0,1.0,0.0,3.0,530.0,34.0,0.5502726507111141,0.14737131702608314,0.0,9.359,2361.688,144.064,147.97,3.0,558.553,135.325,0.7660646396196855,0.23393536038031443,0.0,11.0,1807.0,153.0,153.0,3.0,560.0,115.0,0.7726106353949012,0.22738936460509884,0.0,5.473580097073493,1974.7747162235585,78.35701452790124,79.08879906875649,0.0,16.21048953520439,75.24688344688082,0.049646511592709316,0.04964651159270931,0.0,0.0758958021274873,0.08706211096622082,0.0032255609708132225,0.05651258426199164,0.004700927167387131,0.0029883741797664004,,,,,-0.0542925303772489,0.022795194879845854,-0.03877375760108401,-0.08160020748904777,,-0.23264022355849726,-0.35431025116284415,0.07336310559586448,0.12976119868978353,,-0.053620864724405005,-0.37398237691526165,0.4358124138283913,-0.11166967925160255,-0.20897904186583183,,0.01943706261408309,-0.7927930694414621,0.37398237691526115,-0.43581241382839214,0.11166967925160286,0.20897904186583266,,-0.019437062614092466,0.7927930694414616,-1.0000000000000004,,,,,,,,,,0.0,1343.9185339342234,112.6920738692458,0.0,2.9999999999999996,558.3176971378934,118.3465477985935,0.764365181869017,0.2291496649303503,0.0,0.0,134.51789048825236,64.48933646237168,0.0,3.000000000000001,558.0821618979352,104.63728756709631,0.7625632486685866,0.22475301211099177,0.0,2.611854901872382,6.785054676989645,4.218598230293777,4.450383950897321,0.0,3.096211649656817,5.029812744408337,6.907755278982134,6.907755278982134,0.0,0.1,0,0,0,0,0,0,53,46,46,0,10.0,2822.5,130.0,134.0,0.0,26.25,84.0,0.055939333062174135,0.055939333062174135,0.0,0.018,0.914,0.143,0.16,0.001,0.055,0.245,1.0,1.0,0.001,0.002157727307616863,9,4,4608.398243152934,2092.543377319686,0.0,0.0,0.0,0.0,,,,,-0.00017664339587700233,0.006525809546010626,-0.0010551058073851433,-0.00042809724597361263
17.0,7801.0,290.0,292.0,3.0,600.0,549.0,0.8526286829739169,0.5577156756018902,1.0,0.0,1.0,1.0,1.0,3.0,545.0,30.0,0.44228432439810983,0.14737131702608314,0.0,9.431,2380.425,142.344,148.602,3.0,575.155,134.675,0.7625608669607781,0.23743913303922198,0.001,11.0,1792.5,153.0,154.0,3.0,575.0,115.0,0.7692696424245737,0.23073035757542623,0.0,5.448754713503621,2014.5031047715302,80.64001783529365,79.65411712130374,0.0,15.688055650401363,75.01847203286765,0.05180529230690255,0.05180529230690255,0.0316227766016838,0.051148321747089456,0.12997598430561597,-0.05586572971770124,0.0630389522565132,-0.013157806238117863,0.0213612817064874,,,,,0.03777972102027078,-0.03740560097330153,0.003553259160011784,0.003100598643477978,,-0.2003556418948847,-0.3985848269758951,0.08293731405485345,0.11254016286496545,,-0.02832452283548922,-0.39835397091225583,0.47853288606455807,-0.1527408034344326,-0.20132293785530195,,-0.07088500930904525,-0.7965181040058132,0.3983539709122551,-0.47853288606455785,0.15274080343443236,0.2013229378553022,,0.0708850093090448,0.7965181040058128,-1.0,0.020734033792305005,-0.037388547270848525,0.025772604963071127,-0.008187205027241564,,0.04004206753487601,0.17482656980648886,-0.19569760687550555,0.1956976068755056,0.0,1347.4206192280526,108.63248963519437,115.96903740186178,2.9999999999999996,574.9409415022022,117.85324360206134,0.7606829561029133,0.23234442793411936,0.0,0.0,128.15599666745686,61.9190059587017,61.212233656051836,3.000000000000001,574.7266156008473,104.25528061362259,0.7586633826864447,0.22768659889699644,0.0,2.6205297226262885,6.784871226919472,4.137916307927861,4.463945657936333,0.0,3.1565900725195233,5.104394016498696,6.907755278982134,6.907755278982134,0.007907255112232087,0.1,0,0,0,0,0,0,47,54,54,1,10.0,2854.75,137.0,136.0,0.0,27.0,84.25,0.05783459262727675,0.057834592627276776,0.0,0.018,0.915,0.143,0.171,0.001,0.055,0.252,1.0,1.0,0.002,0.0021517580572698687,13,4,4654.693965803276,2095.6164292732255,0.0,0.0,-0.0019972922614979183,0.0,,,,,0.0017148695688089708,0.005840401884078285,-0.001788055019551438,0.003596895598672658
17.0,7801.0,290.0,292.0,3.0,615.0,549.0,0.8526286829739169,0.5577156756018902,1.0,0.0,1.0,1.0,1.0,3.0,565.0,29.0,0.44228432439810983,0.14737131702608314,0.0,9.732,2448.656,140.997,144.776,3.0,590.661,128.644,0.7615747143340102,0.2384252856659898,0.001,12.0,1866.5,153.0,153.0,3.0,590.0,110.0,0.7669448949669077,0.23305510503309235,0.0,5.268959853513588,2041.6038582393937,82.08927847557585,81.14780829320524,0.0,14.744744368299047,69.85297919704429,0.05180325044649792,0.05180325044649792,0.0316227766016838,0.003264153631070982,0.15331250270032953,-0.06174140851663557,0.12052566381357252,-0.0569982155767111,0.050438057765462105,,,,,-0.14318512573902592,0.020968645400788435,-0.028938752299186223,-0.015040431627916231,,-0.10169427584424727,-0.36689545175911964,0.10657390865492719,0.09815786976463127,,0.06424250053547598,-0.46927690867397487,0.4663215376977534,-0.17506708698929896,-0.22460553306697317,,-0.02149398185975321,-0.8068353438251898,0.4692769086739735,-0.46632153769775303,0.17506708698929885,0.22460553306697315,,0.021493981859773376,0.8068353438251898,-1.0000000000000009,0.019633226194717444,-0.03795014284045772,0.025837014064097875,-0.006544042854319736,,0.009315086977448933,0.1904876522682604,-0.1951027308233009,0.19510273082330112,0.0,1436.0369613085038,105.06588941760056,110.91343100354091,2.9999999999999996,590.4768516676435,113.54542949051793,0.7596860438478763,0.23338909079916384,0.0,0.0,206.4166750402248,56.77913714451725,59.719242483040745,3.000000000000001,590.2924483956203,101.2868736023784,0.7576446618563534,0.2288060407271606,0.0,2.6226004976894717,6.810531223633569,4.14537787714148,4.485132009582116,0.0,3.1143879427687153,5.025860708287172,6.907755278982134,6.907755278982134,0.007907255112232087,0.1,0,0,0,0,0,0,45,60,60,1,10.0,2951.5,139.0,135.5,0.0,26.25,78.0,0.05558699599995143,0.0555869959999514,0.0,0.018,0.931,0.146,0.175,0.001,0.05,0.244,1.0,1.0,0.002,0.002147791075126715,18,4,4528.847883955957,2061.4061349877898,0.0,0.0,-0.0019968365528446608,0.0,,,,,-0.0005866446557897117,0.031126796859285277,-0.002800254686157267,-0.0007716663829202506
17.0,7771.0,290.0,292.0,3.0,630.0,549.0,0.8515108752941638,0.5577156756018902,1.0,0.0,1.0,2.0,0.0,3.0,580.0,29.0,0.44228432439810983,0.14848912470583622,0.0,9.625,2500.459,141.07,144.937,3.0,605.868,129.094,0.7592199770981385,0.24078002290186146,0.001,11.0,1870.0,148.0,153.0,3.0,605.0,111.0,0.7652382396339475,0.23476176036605245,0.0,5.20513865986954,2110.26561391695,80.47207500030588,81.43752883101317,0.0,14.330524761499138,67.2352120375755,0.050620915982974246,0.050620915982974246,0.0316227766016838,0.01139108546766373,0.13064720545161973,-0.06794385379762682,0.11740715042218082,-0.08855549152715228,0.06395451693464622,,,,,-0.18704932879796324,0.06922831079145664,-0.0800863253852551,-0.04232125712234065,,-0.09044926964996565,-0.37039686510088393,0.11132398048449271,0.11348822620475271,,-0.040004672781536466,-0.4825257157404385,0.47230945288664516,-0.16344009880660143,-0.24222999374330337,,0.09465277581299744,-0.8016857162525565,0.48252571574043923,-0.47230945288664505,0.1634400988066027,0.24222999374330403,,-0.09465277581300803,0.8016857162525556,-1.0000000000000004,0.020524660670249315,-0.037492414231091384,0.026327531246232508,-0.006583341932116084,,-0.024006124143325976,0.19769232689852237,-0.19818720316274613,0.19818720316274646,0.0,1449.118691396468,108.17188154536176,0.0,2.9999999999999996,605.6986807152705,114.93833517199168,0.757419086249444,0.2359591011422278,0.0,0.0,226.9606099803772,64.18097823172488,0.0,3.000000000000001,605.5293799178152,103.13432155261343,0.7554808716888961,0.23151432510550168,0.0,2.6487024251049056,6.802736705610613,4.10680221848875,4.474172550547981,0.0,3.13779855871172,5.0342944764393405,6.907755278982134,6.907755278982134,0.007907255112232087,0.1,0,0,0,0,0,0,43,55,55,1,10.0,3192.75,134.0,137.0,0.0,23.0,76.0,0.05480081097251033,0.05480081097251022,0.0,0.018,0.925,0.143,0.176,0.001,0.05,0.236,1.0,1.0,0.002,0.002156730863355469,21,4,4450.5229247413,2043.63504521886,0.0,0.0,-0.001996887413924231,0.0,,,,,0.003035114101834994,0.05396258919890535,-0.002162581964193969,0.0030342026229811555
17.0,7327.0,290.0,291.0,3.0,650.0,393.0,0.8492740737240161,0.4528631009510346,0.0,0.0,5.0,2.0,0.0,3.0,596.0,24.0,0.5471368990489653,0.15072592627598397,0.0,9.393,2502.48,141.096,143.111,3.0,620.899,128.001,0.7582712479124146,0.24172875208758535,0.0,10.0,1827.0,148.0,148.0,3.0,620.0,112.0,0.7639488588521557,0.23605114114784428,0.0,5.234305011073481,2129.5646224242837,78.02047153137424,81.47653100190327,0.0,14.76790065953485,64.8050051129362,0.048895383739803906,0.048895383739803906,0.0,0.052148879835378935,0.12503052084962968,-0.04524813428497728,0.1556505464579398,-0.05813953031351172,0.05224602176563187,,,,,-0.031186638877026506,-0.08563272528532094,0.04088601210704497,-0.01528724461900939,,-0.12895918479789314,-0.36833190797180587,0.051211994292088885,0.08620920079108299,,0.023453241383002175,-0.4843200913024203,0.4614902811472044,-0.11983997604721922,-0.24551724833304506,,-0.07295543772852534,-0.774441990376315,0.4843200913024208,-0.4614902811472041,0.11983997604721974,0.24551724833304536,,0.07295543772852987,0.7744419903763143,-0.9999999999999997,,,,,,,,,,0.0,1466.72252113099,109.90908429295295,0.0,2.9999999999999996,620.7237544166194,114.2476066354544,0.7566103570798014,0.23716850041285764,0.0,0.0,381.6670205311309,63.18881278045927,0.0,3.000000000000001,620.5487461613362,102.34179017922565,0.7548524621083244,0.23290464884039822,0.0,2.6507217581763625,6.8067121386238,4.193233192901898,4.423273550691763,0.0,3.173429294238833,5.002818934117647,6.907755278982134,6.907755278982134,0.0,0.1,0,0,0,0,0,0,35,36,36,0,10.0,3191.0,129.0,135.0,0.0,23.0,77.25,0.05590431387235861,0.05590431387235867,0.0,0.018,0.929,0.15,0.17,0.001,0.055,0.226,1.0,1.0,0.001,0.002142846363951892,14,4,4479.901756119315,2059.9648026306504,0.0,0.0,0.0,0.0,,,,,0.000206915053252641,0.001361832540663287,-0.000518170265072769,-0.0001605016006778713
